time,gFx,gFy,gFz,TgF
0.013032,0.1528,-0.1339,1.0641,1.08
0.034640,0.1459,-0.1693,0.9917,1.02
0.046012,0.1442,-0.1955,1.0088,1.04
0.079163,0.1608,-0.2241,1.0960,1.13
0.094783,0.1799,-0.2216,1.1039,1.14
0.113045,0.0748,-0.1556,1.1051,1.12
0.129877,0.1398,-0.1877,1.0420,1.07
0.146815,0.1230,-0.1432,1.0496,1.07
0.189332,0.0883,-0.1857,1.0572,1.08
0.189990,0.0955,-0.1889,1.0611,1.08
0.214343,0.0946,-0.1524,1.0767,1.09
0.230553,0.1403,-0.1116,1.0159,1.03
0.263586,0.1060,-0.1370,1.2708,1.28
0.288708,0.0823,-0.1571,0.7412,0.76
0.297138,0.1139,-0.2085,0.8986,0.93
0.314742,0.1361,-0.1571,1.2123,1.23
0.330001,0.0880,-0.1503,1.1328,1.15
0.364473,0.0907,-0.2111,1.0594,1.08
0.380676,0.1381,-0.1759,1.1415,1.16
0.406027,0.1303,-0.2502,1.1498,1.18
0.413571,0.1176,-0.2873,1.1340,1.18
0.437678,0.0212,-0.2822,1.1364,1.17
0.464489,0.0147,-0.2402,1.1127,1.14
0.481235,0.0513,-0.2274,1.0418,1.07
0.500891,0.1012,-0.2134,0.9329,0.96
0.520295,0.1071,-0.2018,0.9511,0.98
0.546641,0.0357,-0.1679,1.0476,1.06
0.562882,0.0268,-0.1818,1.0785,1.09
0.580919,0.0694,-0.2092,1.0609,1.08
0.603890,0.1496,-0.2229,1.0415,1.08
0.628587,0.1950,-0.2353,1.0377,1.08
0.645996,0.1933,-0.2424,1.0609,1.11
0.664150,0.1769,-0.2590,1.0900,1.13
0.680520,0.1512,-0.2688,1.1078,1.15
0.702463,0.1242,-0.2658,1.1086,1.15
0.727130,0.1344,-0.2549,1.0907,1.13
0.749642,0.1452,-0.2578,1.0555,1.10
0.764769,0.1403,-0.2530,1.0359,1.08
0.787416,0.1249,-0.2493,1.0181,1.06
0.805385,0.1083,-0.2549,1.0154,1.05
0.831197,0.0934,-0.2695,1.0235,1.06
0.847996,0.0980,-0.2791,1.0333,1.07
0.865295,0.0860,-0.2798,1.0569,1.10
0.902896,0.0834,-0.2832,1.0892,1.13
0.903845,0.0834,-0.2832,1.0892,1.13
0.927539,0.0831,-0.2985,1.0829,1.13
0.948499,0.0816,-0.3095,1.0760,1.12
0.965365,0.0713,-0.2993,1.0736,1.12
1.003987,0.0592,-0.2739,1.0613,1.10
1.027922,0.0785,-0.2756,1.0653,1.10
1.029269,0.0790,-0.2786,1.0589,1.10
1.048752,0.0447,-0.2539,1.0574,1.09
1.065465,0.0587,-0.2598,1.0508,1.08
1.087064,0.0528,-0.2534,1.0471,1.08
1.113622,0.0650,-0.2627,1.0457,1.08
1.131567,0.0633,-0.2705,1.0543,1.09
1.151094,0.0748,-0.2855,1.0597,1.10
1.181995,0.0834,-0.2988,1.0631,1.11
1.205063,0.0862,-0.3019,1.0579,1.10
1.224025,0.0860,-0.3051,1.0592,1.11
1.231793,0.0880,-0.3058,1.0523,1.10
1.265690,0.0885,-0.2985,1.0508,1.10
1.283075,0.0902,-0.2960,1.0579,1.10
1.303869,0.0936,-0.2912,1.0576,1.10
1.326327,0.1002,-0.2914,1.0543,1.10
1.332409,0.0963,-0.2858,1.0552,1.10
1.366828,0.1056,-0.2956,1.0496,1.10
1.382107,0.0973,-0.2953,1.0455,1.09
1.406900,0.0936,-0.2668,1.0476,1.09
1.439159,0.0955,-0.2717,1.0643,1.10
1.440071,0.0955,-0.2717,1.0643,1.10
1.466344,0.0890,-0.2897,1.0755,1.12
1.483269,0.0921,-0.2963,1.0726,1.12
1.505437,0.0978,-0.2995,1.0623,1.11
1.537676,0.1044,-0.3024,1.0354,1.08
1.550154,0.1081,-0.3044,1.0298,1.08
1.566676,0.1007,-0.3130,1.0257,1.08
1.604268,0.0785,-0.3205,1.0543,1.10
1.632639,0.0621,-0.3063,1.0643,1.11
1.633626,0.0621,-0.3063,1.0643,1.11
1.649697,0.0687,-0.2995,1.0662,1.11
1.668374,0.0706,-0.2934,1.0694,1.11
1.705496,0.0760,-0.2798,1.0579,1.10
1.733590,0.0911,-0.2832,1.0450,1.09
1.734396,0.0911,-0.2832,1.0450,1.09
1.749706,0.0914,-0.2837,1.0447,1.09
1.772461,0.0936,-0.2793,1.0455,1.09
1.805952,0.0980,-0.2895,1.0523,1.10
1.833621,0.1029,-0.2983,1.0592,1.11
1.834418,0.1029,-0.2983,1.0592,1.11
1.850519,0.1004,-0.3012,1.0585,1.11
1.885735,0.0967,-0.3041,1.0482,1.10
1.906634,0.0995,-0.2993,1.0462,1.09
1.933077,0.0997,-0.2983,1.0501,1.10
1.951446,0.0985,-0.2958,1.0469,1.09
1.966863,0.0951,-0.2951,1.0420,1.09
