time,gFx,gFy,gFz,TgF
0.012076,0.1931,0.6783,0.3128,0.77
0.033050,0.1994,0.6843,0.3123,0.78
0.045330,0.1901,0.6939,0.2637,0.77
0.078724,0.1794,0.6972,0.2476,0.76
0.093856,0.1885,0.6750,0.2710,0.75
0.111794,0.2013,0.6783,0.2882,0.76
0.129330,0.2069,0.6829,0.2661,0.76
0.145573,0.2105,0.6944,0.2381,0.76
0.180029,0.1875,0.7032,0.2600,0.77
0.195852,0.1864,0.7019,0.2815,0.78
0.212140,0.1762,0.7093,0.2546,0.77
0.229051,0.1840,0.7117,0.2610,0.78
0.262136,0.1838,0.7139,0.2228,0.77
0.291151,0.1918,0.7163,0.2514,0.78
0.291667,0.1918,0.7163,0.2514,0.78
0.311700,0.1918,0.7132,0.2879,0.79
0.328510,0.2016,0.7024,0.2488,0.77
0.362083,0.1950,0.7127,0.2292,0.77
0.381859,0.1913,0.7090,0.2542,0.78
0.397973,0.1784,0.7121,0.2461,0.77
0.411880,0.1782,0.7117,0.2368,0.77
0.445247,0.1840,0.7100,0.2414,0.77
0.462301,0.1960,0.7073,0.2378,0.77
0.478239,0.1985,0.6951,0.2514,0.77
0.500050,0.1899,0.7029,0.2768,0.78
0.513231,0.1955,0.7109,0.2526,0.78
0.546080,0.2187,0.7032,0.2236,0.77
0.563428,0.2084,0.7095,0.2500,0.78
0.584029,0.1967,0.6970,0.2519,0.77
0.601910,0.1899,0.7168,0.2486,0.78
0.630124,0.1918,0.6899,0.2136,0.75
0.647245,0.1836,0.7032,0.2434,0.77
0.663532,0.1738,0.7019,0.2209,0.76
0.680435,0.1803,0.7004,0.2167,0.76
0.701278,0.1694,0.7070,0.2204,0.76
0.719288,0.1759,0.7027,0.2363,0.76
0.745828,0.1720,0.7134,0.2078,0.76
0.762718,0.1784,0.7230,0.2174,0.78
0.783556,0.1826,0.7151,0.2275,0.77
0.799039,0.1740,0.7247,0.2344,0.78
0.831669,0.1789,0.7076,0.2065,0.76
0.847712,0.1728,0.7224,0.2146,0.77
0.865027,0.1626,0.7056,0.2082,0.75
0.900049,0.1777,0.7065,0.2050,0.76
0.918534,0.1815,0.7139,0.2385,0.77
0.930569,0.1833,0.7102,0.2319,0.77
0.950236,0.1789,0.7186,0.2236,0.77
0.964215,0.1808,0.7168,0.2123,0.77
0.985250,0.1974,0.7051,0.1964,0.76
1.012879,0.1943,0.7041,0.2020,0.76
1.030475,0.1682,0.7073,0.2162,0.76
1.048189,0.1828,0.7102,0.2246,0.77
1.065387,0.1931,0.7009,0.1967,0.75
1.102337,0.1691,0.7102,0.2099,0.76
1.125990,0.1787,0.7053,0.2211,0.76
1.131895,0.1803,0.7007,0.2183,0.76
1.147890,0.1862,0.7105,0.1940,0.76
1.181663,0.1794,0.7093,0.2143,0.76
1.203461,0.1764,0.7032,0.2057,0.75
1.229923,0.1877,0.7061,0.2031,0.76
1.231152,0.1875,0.7061,0.1992,0.76
1.249014,0.1780,0.7065,0.1899,0.75
1.286166,0.1577,0.7271,0.2344,0.78
1.309110,0.1750,0.7151,0.2339,0.77
