time,gFx,gFy,gFz,TgF
0.009922,-0.1412,0.5578,0.4536,0.73
0.026305,-0.1405,0.5832,0.4098,0.73
0.041835,-0.1503,0.5934,0.3551,0.71
0.058357,-0.1823,0.6389,0.3331,0.74
0.092361,-0.1769,0.5868,0.4164,0.74
0.121919,-0.1591,0.6066,0.4020,0.74
0.122557,-0.1591,0.6066,0.4020,0.74
0.143153,-0.1569,0.6166,0.4059,0.75
0.159096,-0.1522,0.6257,0.3783,0.75
0.205030,-0.1757,0.6184,0.4057,0.76
0.205753,-0.1801,0.6110,0.4079,0.76
0.228624,-0.1731,0.5834,0.3766,0.72
0.243487,-0.1792,0.5805,0.3511,0.70
0.260777,-0.1764,0.5888,0.3358,0.70
0.292667,-0.1909,0.5888,0.4117,0.74
0.317286,-0.2209,0.5795,0.4066,0.74
0.326411,-0.2126,0.5783,0.4213,0.75
0.347334,-0.2258,0.5944,0.3749,0.74
0.375027,-0.1755,0.5636,0.3448,0.68
0.393142,-0.1584,0.5333,0.3551,0.66
0.417706,-0.1889,0.5325,0.3629,0.67
0.426723,-0.2136,0.5741,0.3532,0.71
0.463186,-0.2207,0.5983,0.3777,0.74
0.477315,-0.2055,0.6147,0.3539,0.74
0.492966,-0.1412,0.6012,0.3306,0.70
0.511764,-0.1892,0.6328,0.3467,0.75
0.532436,-0.1941,0.5895,0.3788,0.73
0.560015,-0.1892,0.6044,0.3394,0.72
0.577354,-0.1885,0.6357,0.3192,0.74
0.593733,-0.2321,0.6328,0.2877,0.73
0.615242,-0.1862,0.5886,0.2910,0.68
0.647752,-0.1872,0.6007,0.2962,0.70
0.660466,-0.2128,0.5970,0.2678,0.69
0.677153,-0.1366,0.6096,0.2488,0.67
0.694087,-0.1266,0.6450,0.2959,0.72
0.713030,-0.1473,0.6426,0.3099,0.73
0.732913,-0.1622,0.6277,0.3282,0.73
0.763129,-0.1501,0.5914,0.3744,0.72
0.777837,-0.1324,0.5511,0.3979,0.69
0.796370,-0.1408,0.6056,0.3730,0.73
0.814718,-0.1056,0.6408,0.2740,0.70
0.840224,-0.1517,0.7266,0.2006,0.77
0.860823,-0.1037,0.6758,0.1859,0.71
0.877582,-0.0877,0.6545,0.2106,0.69
0.894468,-0.0846,0.6753,0.1874,0.71
0.916417,-0.1708,0.6724,0.1666,0.71
0.946620,-0.1659,0.6252,0.2424,0.69
0.961581,-0.1139,0.5824,0.2583,0.65
0.981529,-0.1422,0.6156,0.2221,0.67
0.994756,-0.1836,0.6685,0.1519,0.71
1.017588,-0.2004,0.6487,0.1221,0.69
1.054073,-0.1682,0.6254,0.2297,0.69
1.061735,-0.1725,0.6350,0.2123,0.69
1.079244,-0.1801,0.6577,0.1864,0.71
1.111755,-0.2121,0.6433,0.2090,0.71
1.134633,-0.2085,0.6257,0.2106,0.69
1.168829,-0.2305,0.6716,0.1825,0.73
1.169653,-0.2305,0.6716,0.1825,0.73
1.195857,-0.2141,0.6418,0.1862,0.70
1.211907,-0.2270,0.6122,0.2131,0.69
1.234304,-0.2065,0.6215,0.2393,0.70
1.261287,-0.1950,0.6743,0.2174,0.73
1.279291,-0.1361,0.5998,0.1936,0.64
1.294685,-0.1735,0.5895,0.2348,0.66
1.310935,-0.2114,0.6418,0.2404,0.72
1.334192,-0.1750,0.6420,0.2260,0.70
1.363925,-0.1980,0.6538,0.2172,0.72
1.379358,-0.2002,0.6452,0.1447,0.69
1.397594,-0.1962,0.6604,0.1183,0.70
1.412089,-0.2175,0.6746,0.1722,0.73
1.435358,-0.1687,0.6606,0.1566,0.70
1.464182,-0.1579,0.6274,0.1713,0.67
1.479388,-0.1992,0.6455,0.2174,0.71
1.496103,-0.1855,0.6660,0.2092,0.72
1.512103,-0.1633,0.6731,0.1715,0.71
1.534840,-0.1498,0.6422,0.1671,0.68
1.569680,-0.1557,0.6176,0.1764,0.66
1.578546,-0.1626,0.6450,0.1794,0.69
1.597375,-0.1398,0.6611,0.1566,0.69
1.612759,-0.1424,0.6335,0.1727,0.67
1.634888,-0.1525,0.6217,0.1899,0.67
1.666622,-0.1405,0.6629,0.1615,0.70
1.679104,-0.1424,0.6662,0.1726,0.70
1.695959,-0.1696,0.7078,0.1139,0.74
1.733201,-0.1547,0.6431,0.2192,0.70
1.750208,-0.1273,0.6235,0.1928,0.66
1.761671,-0.1310,0.6335,0.1957,0.68
1.778119,-0.1520,0.6736,0.1908,0.72
1.795511,-0.1424,0.6557,0.2029,0.70
1.817653,-0.1158,0.6599,0.2148,0.70
1.852590,-0.1178,0.6713,0.1943,0.71
1.863751,-0.1178,0.6379,0.1708,0.67
1.880192,-0.1239,0.6594,0.2053,0.70
1.897402,-0.1366,0.6694,0.2165,0.72
1.934259,-0.1373,0.6543,0.1862,0.69
1.976234,-0.1021,0.6457,0.1803,0.68
1.977747,-0.1037,0.6431,0.1879,0.68
1.982029,-0.1021,0.6396,0.1904,0.68
2.013274,-0.0955,0.6261,0.2087,0.67
2.034943,-0.1105,0.6613,0.1876,0.70
2.077611,-0.1072,0.6846,0.1556,0.71
2.078946,-0.1090,0.6843,0.1559,0.71
2.082124,-0.1072,0.6834,0.1586,0.71
2.114623,-0.1037,0.6333,0.2179,0.68
2.135826,-0.1142,0.6508,0.2013,0.69
2.172755,-0.1019,0.6911,0.1694,0.72
2.173595,-0.1019,0.6911,0.1694,0.72
2.200030,-0.1119,0.6885,0.1879,0.72
2.213851,-0.1142,0.6772,0.1999,0.72
2.236615,-0.1051,0.6450,0.1933,0.68
2.277225,-0.1156,0.6790,0.1843,0.71
2.278112,-0.1156,0.6790,0.1843,0.71
2.297237,-0.1102,0.6816,0.1948,0.72
2.313805,-0.0995,0.6650,0.1855,0.70
2.335162,-0.0746,0.6601,0.1682,0.69
2.382121,-0.0923,0.6821,0.1906,0.71
2.383348,-0.0879,0.6755,0.1938,0.71
2.397471,-0.0879,0.6606,0.1889,0.69
2.415036,-0.1100,0.6829,0.2023,0.72
2.437954,-0.1224,0.7097,0.2307,0.76
2.472359,-0.1063,0.6523,0.1312,0.67
2.481059,-0.1081,0.6433,0.2057,0.68
2.498352,-0.0525,0.6422,0.1500,0.66
2.517373,-0.1081,0.6827,0.1980,0.72
2.536738,-0.0923,0.6418,0.2160,0.68
2.579070,-0.0669,0.6687,0.1706,0.69
2.582536,-0.0672,0.6765,0.1642,0.70
2.598490,-0.0848,0.7014,0.1300,0.72
2.637108,-0.1105,0.6780,0.1933,0.71
2.662357,-0.0911,0.6366,0.1871,0.67
2.663305,-0.0911,0.6366,0.1871,0.67
2.682168,-0.0946,0.6750,0.1955,0.71
2.715276,-0.0983,0.6794,0.1766,0.71
2.737162,-0.1029,0.7093,0.1659,0.74
2.769043,-0.0902,0.6623,0.1661,0.69
2.769998,-0.0902,0.6623,0.1661,0.69
2.781869,-0.1026,0.6557,0.1729,0.69
2.815073,-0.0836,0.6811,0.1510,0.70
2.836440,-0.0802,0.6655,0.1564,0.69
2.864773,-0.0899,0.6965,0.1750,0.72
2.882669,-0.0890,0.7004,0.1696,0.73
2.899831,-0.0767,0.6536,0.1624,0.68
2.915517,-0.0687,0.6428,0.1794,0.67
2.937526,-0.0858,0.6834,0.1598,0.71
2.962844,-0.0755,0.6885,0.1637,0.71
2.967569,-0.0780,0.6921,0.1682,0.72
3.001863,-0.0834,0.6694,0.1601,0.69
3.016419,-0.0792,0.6611,0.1605,0.68
3.038519,-0.0772,0.6692,0.1484,0.69
3.074772,-0.0790,0.7053,0.1576,0.73
3.076027,-0.0772,0.7027,0.1589,0.72
3.099492,-0.0701,0.6629,0.1686,0.69
3.115987,-0.0667,0.6496,0.1706,0.67
3.138758,-0.0550,0.6675,0.1493,0.69
3.169393,-0.0774,0.7102,0.1527,0.73
3.173515,-0.0780,0.7121,0.1481,0.73
3.201739,-0.0628,0.6699,0.1522,0.69
3.233275,-0.0685,0.6608,0.1624,0.68
3.247105,-0.0608,0.6829,0.1532,0.70
3.289819,-0.0689,0.6774,0.1593,0.70
3.293222,-0.0689,0.6774,0.1593,0.70
3.319231,-0.0689,0.6809,0.1564,0.70
3.336992,-0.0616,0.6729,0.1510,0.69
3.348880,-0.0638,0.6721,0.1659,0.70
3.383740,-0.0628,0.6790,0.1576,0.70
3.387515,-0.0616,0.6774,0.1556,0.70
3.399377,-0.0669,0.6623,0.1561,0.68
3.438590,-0.0716,0.6821,0.1608,0.70
3.439861,-0.0672,0.6821,0.1586,0.70
3.467423,-0.0662,0.6729,0.1647,0.70
3.484229,-0.0557,0.6870,0.1561,0.71
3.500793,-0.0787,0.6809,0.1727,0.71
3.533710,-0.0726,0.6760,0.1573,0.70
3.555377,-0.0623,0.6753,0.1637,0.70
3.587539,-0.0592,0.6941,0.1512,0.71
3.588612,-0.0592,0.6941,0.1512,0.71
3.616720,-0.0648,0.6814,0.1561,0.70
3.634517,-0.0608,0.6846,0.1608,0.71
3.655343,-0.0618,0.6657,0.1673,0.69
3.683889,-0.0623,0.6919,0.1589,0.71
3.700912,-0.0606,0.6858,0.1652,0.71
3.717367,-0.0623,0.6821,0.1708,0.71
3.733917,-0.0579,0.6848,0.1620,0.71
3.757758,-0.0562,0.6876,0.1535,0.71
3.791199,-0.0620,0.6839,0.1669,0.71
3.792144,-0.0620,0.6839,0.1669,0.71
3.818221,-0.0552,0.6731,0.1698,0.70
3.834290,-0.0533,0.6690,0.1571,0.69
3.855011,-0.0601,0.6780,0.1762,0.70
3.897197,-0.0706,0.6934,0.1784,0.72
3.897989,-0.0706,0.6934,0.1784,0.72
3.917911,-0.0648,0.6724,0.1766,0.70
3.934769,-0.0623,0.6721,0.1630,0.69
3.956439,-0.0536,0.6741,0.1454,0.69
3.990881,-0.0582,0.7029,0.1463,0.72
4.000245,-0.0515,0.6936,0.1561,0.71
4.020755,-0.0445,0.6811,0.1637,0.70
4.036393,-0.0438,0.6867,0.1579,0.71
4.056278,-0.0433,0.6774,0.1603,0.70
4.083269,-0.0562,0.6960,0.1519,0.71
4.101580,-0.0650,0.6858,0.1564,0.71
4.119282,-0.0633,0.6904,0.1547,0.71
4.156781,-0.0555,0.6797,0.1589,0.70
4.186265,-0.0562,0.6914,0.1601,0.71
4.187139,-0.0562,0.6914,0.1601,0.71
