time,gFx,gFy,gFz,TgF
0.011595,0.1752,0.6834,0.3844,0.80
0.033347,0.2001,0.6675,0.3282,0.77
0.044839,0.1640,0.6809,0.3260,0.77
0.060275,0.1474,0.6909,0.3467,0.79
0.094288,0.1706,0.6643,0.3431,0.77
0.110661,0.1657,0.6765,0.3616,0.78
0.130011,0.1484,0.6841,0.3585,0.79
0.145011,0.1540,0.6916,0.3681,0.80
0.161241,0.1689,0.6794,0.3519,0.78
0.194184,0.1780,0.6834,0.3917,0.81
0.210831,0.1838,0.6919,0.3763,0.81
0.230672,0.1745,0.6887,0.3847,0.81
0.245090,0.1662,0.6860,0.3788,0.80
0.262416,0.1459,0.7037,0.3919,0.82
0.295291,0.1452,0.6951,0.3343,0.78
0.311392,0.1743,0.6638,0.2910,0.75
0.328916,0.2086,0.6330,0.2756,0.72
0.344213,0.2184,0.6137,0.3087,0.72
0.378791,0.2157,0.6435,0.3709,0.77
0.394724,0.2218,0.6587,0.3233,0.77
0.411932,0.2291,0.6692,0.2607,0.75
0.428825,0.2429,0.6753,0.2329,0.75
0.460733,0.2323,0.6799,0.2998,0.78
0.477965,0.2169,0.6932,0.3578,0.81
0.494236,0.2001,0.7027,0.3777,0.82
0.513088,0.1889,0.7121,0.4173,0.85
0.528107,0.1633,0.7217,0.4049,0.84
0.560888,0.1728,0.7254,0.2952,0.80
0.577526,0.1647,0.7105,0.2686,0.78
0.594714,0.1601,0.7027,0.2991,0.78
0.612289,0.1701,0.6916,0.3370,0.79
0.631703,0.1948,0.6876,0.3693,0.80
0.662358,0.2284,0.6711,0.3115,0.77
0.679216,0.2469,0.6518,0.2994,0.76
0.696551,0.2401,0.6540,0.3399,0.78
0.711362,0.2399,0.6506,0.3768,0.79
0.731583,0.2233,0.6641,0.3819,0.80
0.763386,0.2152,0.6648,0.3521,0.78
0.778783,0.2222,0.6648,0.3497,0.78
0.796397,0.2159,0.6694,0.3724,0.80
0.816534,0.1926,0.6883,0.4485,0.84
0.845401,0.1926,0.6904,0.4404,0.84
0.864256,0.1845,0.6909,0.4367,0.84
0.879686,0.1904,0.6929,0.4467,0.85
0.896223,0.2138,0.6997,0.4120,0.84
0.931633,0.2030,0.7195,0.2791,0.80
0.945341,0.1965,0.7283,0.2766,0.80
0.962620,0.2021,0.7181,0.3341,0.82
0.979055,0.1892,0.6883,0.3379,0.79
0.996302,0.1750,0.6694,0.3600,0.78
1.031779,0.1288,0.6711,0.5335,0.87
1.045585,0.1444,0.6613,0.5376,0.86
1.063027,0.1831,0.6455,0.4795,0.82
1.079570,0.1880,0.6426,0.4284,0.79
1.115754,0.1615,0.6394,0.4308,0.79
1.129070,0.1669,0.6328,0.4291,0.78
1.146588,0.1740,0.6127,0.4411,0.77
1.163321,0.1415,0.6362,0.4744,0.81
1.179560,0.1221,0.6371,0.5252,0.83
1.213338,0.1071,0.6247,0.5212,0.82
1.232131,0.1097,0.6110,0.5147,0.81
1.245887,0.1195,0.6338,0.4981,0.81
1.263364,0.1298,0.6149,0.5110,0.81
1.295953,0.1554,0.6217,0.5469,0.84
1.312951,0.1566,0.6142,0.5765,0.86
1.334578,0.1608,0.5979,0.5689,0.84
1.347527,0.1571,0.5905,0.5508,0.82
1.379804,0.1523,0.5917,0.4839,0.78
1.397250,0.1374,0.6161,0.4877,0.80
1.414137,0.1217,0.6198,0.5002,0.81
1.434497,0.1354,0.6196,0.5019,0.81
1.447702,0.1474,0.6103,0.4587,0.78
1.482067,0.1415,0.6181,0.4338,0.77
1.497337,0.1295,0.6264,0.4790,0.80
1.517765,0.1371,0.6310,0.4788,0.80
1.546995,0.1691,0.6122,0.4091,0.76
1.563286,0.1913,0.5937,0.4096,0.75
1.579749,0.1789,0.6000,0.4079,0.75
1.597113,0.1601,0.6230,0.4401,0.78
1.614024,0.1425,0.6242,0.4748,0.80
1.633760,0.1356,0.6289,0.4930,0.81
1.663783,0.1376,0.6406,0.4821,0.81
1.680660,0.1569,0.6269,0.4445,0.78
1.697959,0.1582,0.6379,0.4020,0.77
1.714023,0.1586,0.6589,0.4150,0.79
1.735051,0.1396,0.6772,0.4860,0.85
1.764547,0.1813,0.6941,0.5144,0.88
1.780793,0.2259,0.6921,0.4651,0.86
1.799820,0.2303,0.6872,0.4582,0.86
1.814708,0.2091,0.6968,0.4848,0.87
1.848983,0.1317,0.6970,0.5652,0.91
1.864237,0.1105,0.6880,0.5877,0.91
1.881269,0.1188,0.6604,0.5699,0.88
1.898371,0.1452,0.6340,0.5301,0.84
1.935565,0.1941,0.6032,0.4599,0.78
1.948303,0.1904,0.6152,0.4775,0.80
1.964526,0.1906,0.6115,0.5326,0.83
1.981106,0.1882,0.5983,0.5564,0.84
1.998152,0.2152,0.5672,0.5682,0.83
2.018926,0.2362,0.5441,0.5247,0.79
2.048110,0.2198,0.5695,0.4819,0.78
2.065325,0.2154,0.5788,0.4480,0.76
2.081714,0.2362,0.5909,0.4022,0.75
2.114589,0.2453,0.5942,0.4550,0.79
2.134842,0.2571,0.5707,0.5237,0.82
2.148602,0.2623,0.5614,0.4953,0.79
2.165549,0.2418,0.5739,0.4716,0.78
2.181331,0.2126,0.5839,0.4655,0.78
2.218981,0.1498,0.6002,0.4807,0.78
2.233375,0.1510,0.6056,0.4721,0.78
2.249004,0.1515,0.6073,0.4374,0.76
2.264506,0.1479,0.6086,0.4110,0.75
2.298064,0.1535,0.6093,0.4333,0.76
2.315068,0.1542,0.6075,0.4282,0.76
2.338928,0.1283,0.6103,0.3076,0.70
2.349075,0.1342,0.6179,0.2845,0.69
2.366143,0.0878,0.6079,0.2964,0.68
2.398639,0.1425,0.5690,0.3377,0.68
2.415816,0.1014,0.5841,0.3394,0.68
2.435645,0.0088,0.5900,0.3604,0.69
2.449338,0.0608,0.5064,0.3793,0.64
2.465690,0.1354,0.4439,0.4030,0.61
2.499497,-0.0345,0.4717,0.5005,0.69
2.515574,0.2480,0.4421,0.5587,0.75
2.535779,0.3633,0.4167,0.4631,0.72
2.549615,0.1239,0.4702,0.3898,0.62
2.566135,-0.1210,0.5927,0.5122,0.79
2.599414,-0.1459,0.5306,0.5689,0.79
2.616532,-0.0650,0.3378,0.5794,0.67
2.636582,-0.0462,0.3942,0.6128,0.73
2.649062,-0.0594,0.4441,0.4276,0.62
2.666534,-0.2854,0.4441,0.2852,0.60
2.698985,-0.4753,0.3950,0.7080,0.94
2.715722,-0.4697,0.3852,0.6860,0.92
2.736175,-0.4629,0.1794,0.4291,0.66
2.749535,-0.2728,0.3605,0.5301,0.70
2.782530,-0.5587,0.4690,0.6132,0.95
2.799314,-0.6396,0.5951,0.7668,1.16
2.816027,-0.6268,0.5587,0.7642,1.14
2.836638,-0.5401,0.6323,0.6027,1.03
2.849589,-0.5438,0.6701,0.4355,0.97
2.883155,-0.2742,0.5641,0.2607,0.68
2.899577,-0.1112,0.6098,0.3084,0.69
2.917624,-0.2578,0.6618,0.2118,0.74
2.937209,-0.3470,0.6443,0.2526,0.77
2.953192,-0.4599,0.6000,0.2158,0.79
2.984576,-0.1731,0.4383,0.3570,0.59
3.001725,-0.0289,0.4221,0.6379,0.77
3.017855,-0.2556,0.4686,0.1395,0.55
3.037535,-0.2402,0.5382,0.0304,0.59
3.058789,-0.2454,0.4334,0.1999,0.54
3.084933,0.0580,0.2144,0.3248,0.39
3.101196,-0.0115,0.3828,0.2512,0.46
3.118606,-0.2959,0.6806,0.2744,0.79
3.138630,-0.6242,0.5878,0.1624,0.87
3.167965,-0.5345,0.5123,0.3534,0.82
3.184558,-0.4323,0.4956,0.5373,0.85
3.201895,-0.1678,0.4167,0.6244,0.77
3.238048,0.0186,0.4423,0.8434,0.95
3.255484,-0.0039,0.5130,2.8193,2.87
3.268532,-0.5376,0.6264,1.0110,1.31
3.284731,-0.5128,0.7146,0.6449,1.09
3.301151,-0.2006,0.5907,0.4560,0.77
3.340335,0.0266,0.4847,0.6725,0.83
3.353188,-0.1427,0.4766,0.2929,0.58
3.368434,-0.1000,0.6582,0.0720,0.67
3.384878,-0.0128,0.6799,0.0725,0.68
3.422156,-0.5181,0.4563,1.0557,1.26
3.439102,-0.5120,0.4318,1.5348,1.67
3.451629,-0.3977,0.3793,0.7554,0.93
