time,gFx,gFy,gFz,TgF
0.001136,-0.1559,0.0846,0.7429,0.76
0.012950,-0.2896,0.1091,0.7840,0.84
0.031421,-0.3375,0.1391,0.8076,0.89
0.062208,0.0973,0.0778,0.9274,0.94
0.078415,0.1836,-0.0176,0.9392,0.96
0.095723,0.1046,0.0238,0.8479,0.85
0.111078,0.0403,0.0729,0.8541,0.86
0.130593,-0.1344,0.1224,0.9098,0.93
0.162477,-0.3367,0.0718,0.8996,0.96
0.178781,-0.3864,0.0338,0.9157,0.99
0.195106,-0.6151,0.0734,0.9073,1.10
0.212278,-0.8199,0.1599,0.8148,1.17
0.246162,-0.1554,-0.0276,0.8646,0.88
0.262678,-0.0325,0.0597,0.8488,0.85
0.279259,-0.1249,0.0904,0.9629,0.98
0.296710,-0.2884,0.0949,0.9518,1.00
0.313608,-0.3661,0.1667,0.9387,1.02
0.342386,-0.1239,0.2684,1.1571,1.19
0.363238,0.9760,0.0142,1.0450,1.43
0.381425,0.4801,0.0154,1.0926,1.19
0.398332,0.1630,0.1689,1.0750,1.10
0.432708,-0.5276,0.3889,0.9357,1.14
0.447221,-0.7163,0.2718,0.9644,1.23
0.463738,-0.0928,0.1130,0.9961,1.01
0.480382,0.0963,0.1002,0.8835,0.89
0.516893,-0.1347,0.2183,0.8026,0.84
0.530276,-0.0858,0.2771,0.8006,0.85
0.546761,-0.1545,0.3964,0.5916,0.73
0.563165,-0.1279,0.2843,0.5951,0.67
0.581845,-0.3104,0.2234,0.6415,0.75
0.612974,-0.4220,0.0670,0.8411,0.94
0.631708,-0.5572,0.1648,0.9015,1.07
0.646374,-0.6210,0.2522,0.6281,0.92
0.662797,-0.3849,0.2549,0.7593,0.89
0.680378,-0.3126,0.4162,0.8309,0.98
0.715165,-0.1354,0.3791,0.7884,0.89
0.730831,-0.1344,0.1373,0.7407,0.77
0.751937,-0.3131,0.2617,0.7151,0.82
0.763771,-0.5428,0.4218,0.5340,0.87
0.782261,-0.8407,0.4350,0.3416,1.01
0.818213,-0.3996,0.2359,0.6715,0.82
0.831460,-0.2260,0.2796,0.6093,0.71
0.848161,-0.1887,0.5930,0.4755,0.78
0.864705,-0.3681,0.7853,0.3064,0.92
0.898064,-0.6804,0.3605,0.8255,1.13
0.914927,-0.4355,0.3151,0.9094,1.06
0.934202,-0.3143,0.3768,0.5103,0.71
0.948642,-0.4697,0.5460,0.5972,0.94
0.965030,-0.4133,0.5812,0.2788,0.77
1.000083,-0.2442,0.5133,0.6466,0.86
1.015984,-0.1759,0.4209,0.7295,0.86
