time,gFx,gFy,gFz,TgF
0.003852,-0.1121,0.5714,0.3849,0.70
0.022745,-0.1666,0.5592,0.5075,0.77
0.038121,-0.1645,0.5942,0.4035,0.74
0.062988,-0.1926,0.5807,0.4639,0.77
0.071072,-0.1848,0.5812,0.4736,0.77
0.104544,-0.1953,0.5795,0.3795,0.72
0.120982,-0.2212,0.6247,0.4113,0.78
0.139167,-0.1796,0.5925,0.4546,0.77
0.167322,-0.2236,0.6098,0.4357,0.78
0.187239,-0.2209,0.5616,0.4646,0.76
0.205298,-0.2148,0.4954,0.5127,0.74
0.222051,-0.2002,0.4879,0.5664,0.77
0.239336,-0.2219,0.5453,0.5741,0.82
0.262662,-0.2838,0.5548,0.5545,0.83
0.288618,-0.3072,0.5614,0.5273,0.83
0.305133,-0.2817,0.4551,0.5638,0.78
0.321268,-0.2180,0.4094,0.6063,0.76
0.339418,-0.2324,0.4045,0.5923,0.75
0.367603,-0.2724,0.4600,0.5911,0.80
0.388524,-0.2673,0.4187,0.5741,0.76
0.406543,-0.2524,0.4133,0.6121,0.78
0.422027,-0.2573,0.4131,0.6065,0.78
0.458698,-0.2908,0.3588,0.6188,0.77
0.472371,-0.2693,0.3624,0.6327,0.78
0.492134,-0.2341,0.4038,0.6381,0.79
0.506014,-0.2439,0.3458,0.6706,0.79
0.522954,-0.2630,0.2997,0.6701,0.78
0.563156,-0.2503,0.2860,0.6815,0.78
0.574990,-0.2466,0.2794,0.6792,0.77
0.589779,-0.2373,0.2715,0.6771,0.77
0.606132,-0.2263,0.2586,0.6804,0.76
0.625361,-0.2393,0.2484,0.6664,0.75
0.661083,-0.2617,0.2561,0.6569,0.75
0.672462,-0.2596,0.2689,0.6640,0.76
0.690430,-0.2505,0.2708,0.6945,0.79
0.706628,-0.2637,0.2813,0.7253,0.82
0.739180,-0.2994,0.3656,0.6869,0.83
0.761624,-0.2549,0.4521,0.6093,0.80
0.774527,-0.2632,0.5340,0.6305,0.87
0.790154,-0.3048,0.6317,0.6745,0.97
0.823283,-0.3383,0.5570,0.7551,1.00
0.840362,-0.2126,0.5834,0.7018,0.94
0.859481,-0.1699,0.5089,0.5983,0.80
0.876905,-0.1874,0.4062,0.5975,0.75
0.891436,-0.2314,0.3894,0.5723,0.73
0.924180,-0.2512,0.4910,0.6256,0.83
0.941306,-0.2488,0.5369,0.6703,0.89
0.963169,-0.2918,0.6110,0.6747,0.96
0.979908,-0.2859,0.6923,0.6687,1.00
1.007855,-0.3190,0.6883,0.6039,0.97
1.023733,-0.3328,0.6755,0.5787,0.95
1.042232,-0.3311,0.6413,0.5228,0.89
1.062327,-0.2777,0.6035,0.4877,0.82
1.082250,-0.2232,0.5800,0.4450,0.76
1.108002,-0.1789,0.5357,0.3683,0.67
1.125080,-0.1735,0.5301,0.3218,0.64
1.141329,-0.1994,0.5066,0.3196,0.63
1.161553,-0.2190,0.5013,0.3128,0.63
1.192082,-0.2635,0.5665,0.3140,0.70
1.209498,-0.2740,0.6037,0.2873,0.72
1.224183,-0.3057,0.6271,0.2642,0.75
1.241989,-0.3113,0.6000,0.2461,0.72
1.262825,-0.2840,0.6073,0.2234,0.71
1.290968,-0.2212,0.5494,0.2514,0.64
1.308480,-0.2185,0.5213,0.2187,0.61
1.325225,-0.2263,0.5308,0.1752,0.60
1.341185,-0.2388,0.5213,0.1801,0.60
1.362781,-0.2654,0.4956,0.2174,0.60
1.391832,-0.2123,0.4678,0.1838,0.55
1.409635,-0.1945,0.4020,0.1221,0.46
1.427066,-0.1312,0.4187,0.0613,0.44
1.463830,-0.2337,0.4665,0.2241,0.57
1.487688,-0.2373,0.4884,0.1796,0.57
1.491987,-0.2410,0.4791,0.1831,0.57
1.525929,-0.2862,0.4686,0.0977,0.56
1.543058,-0.2773,0.5091,0.0599,0.58
1.563720,-0.3120,0.5676,0.1321,0.66
1.584913,-0.3138,0.6330,0.1899,0.73
1.609840,-0.3507,0.6294,0.1659,0.74
1.626359,-0.3504,0.5816,0.1659,0.70
1.644055,-0.3832,0.5704,0.1368,0.70
1.660538,-0.3917,0.6081,0.1232,0.73
1.681244,-0.3852,0.6271,0.1491,0.75
1.707031,-0.3367,0.6592,0.1740,0.76
1.726705,-0.3131,0.6503,0.1519,0.74
1.744349,-0.3111,0.6620,0.0904,0.74
1.782196,-0.3512,0.6538,0.1063,0.75
